,All,Hard,Soft
magento/module-directory,3,3,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0

magento/module-store,6,5,1
" -- magento/module-catalog",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-config",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-deploy",,0,1

magento/module-media-storage,3,3,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-config",,1,0

magento/module-eav,5,5,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-config",,1,0
" -- magento/module-media-storage",,1,0

magento/module-security,3,2,1
" -- magento/module-backend",,1,0
" -- magento/module-store",,1,0
" -- magento/module-customer",,0,1

magento/module-integration,6,6,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-user",,1,0
" -- magento/module-security",,1,0
" -- magento/module-authorization",,1,0

magento/module-user,6,6,0
" -- magento/module-store",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-security",,1,0
" -- magento/module-integration",,1,0
" -- magento/module-email",,1,0

magento/module-ui,5,4,1
" -- magento/module-backend",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-user",,1,0
" -- magento/module-config",,0,1

magento/module-theme,14,10,4
" -- magento/module-store",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-config",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-require-js",,1,0
" -- magento/module-translation",,0,1
" -- magento/module-theme-sample-data",,0,1
" -- magento/module-deploy",,0,1
" -- magento/module-directory",,0,1

magento/module-rule,4,4,0
" -- magento/module-store",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-backend",,1,0

magento/module-variable,3,3,0
" -- magento/module-backend",,1,0
" -- magento/module-email",,1,0
" -- magento/module-store",,1,0

magento/module-widget,8,7,1
" -- magento/module-store",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-email",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-variable",,1,0
" -- magento/module-widget-sample-data",,0,1

magento/module-catalog-rule,9,7,2
" -- magento/module-store",,1,0
" -- magento/module-rule",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-import-export",,0,1
" -- magento/module-catalog-rule-sample-data",,0,1

magento/module-sales-rule,17,16,1
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-rule",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-catalog-rule",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-sales-rule-sample-data",,0,1

magento/module-page-cache,3,3,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0

magento/module-checkout,18,17,1
" -- magento/module-store",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-sales-rule",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-msrp",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-cookie",,0,1

magento/module-downloadable,17,16,1
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-gift-message",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-config",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-downloadable-sample-data",,0,1

magento/module-rss,3,3,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-customer",,1,0

magento/module-newsletter,8,8,0
" -- magento/module-store",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-email",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-require-js",,1,0

magento/module-wishlist,15,9,6
" -- magento/module-store",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-rss",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-configurable-product",,0,1
" -- magento/module-downloadable",,0,1
" -- magento/module-bundle",,0,1
" -- magento/module-cookie",,0,1
" -- magento/module-grouped-product",,0,1
" -- magento/module-wishlist-sample-data",,0,1

magento/module-review,10,8,2
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-newsletter",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-cookie",,0,1
" -- magento/module-review-sample-data",,0,1

magento/module-reports,16,16,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-wishlist",,1,0
" -- magento/module-review",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-downloadable",,1,0
" -- magento/module-sales-rule",,1,0
" -- magento/module-quote",,1,0

magento/module-tax,14,13,1
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-tax-sample-data",,0,1

magento/module-quote,15,14,1
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-sales-sequence",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-webapi",,0,1

magento/module-payment,6,6,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-directory",,1,0

magento/module-import-export,5,5,0
" -- magento/module-catalog",,1,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-media-storage",,1,0

magento/module-contact,4,4,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-cms",,1,0

magento/module-shipping,16,13,3
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-contact",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-user",,1,0
" -- magento/module-fedex",,0,1
" -- magento/module-ups",,0,1
" -- magento/module-config",,0,1

magento/module-vault,6,6,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-quote",,1,0

magento/module-catalog-import-export,9,9,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-url-rewrite",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-customer",,1,0

magento/module-msrp,8,6,2
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-downloadable",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-grouped-product",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-bundle",,0,1
" -- magento/module-msrp-sample-data",,0,1

magento/module-instant-purchase,7,7,0
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-vault",,1,0

magento/module-developer,2,2,0
" -- magento/module-store",,1,0
" -- magento/module-config",,1,0

magento/module-paypal,17,16,1
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-vault",,1,0
" -- magento/module-instant-purchase",,1,0
" -- magento/module-checkout-agreements",,0,1

magento/module-catalog-url-rewrite,8,8,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-import-export",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-store",,1,0
" -- magento/module-url-rewrite",,1,0
" -- magento/module-ui",,1,0

magento/module-configurable-product,16,11,5
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-msrp",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-webapi",,0,1
" -- magento/module-sales",,0,1
" -- magento/module-product-video",,0,1
" -- magento/module-configurable-sample-data",,0,1
" -- magento/module-product-links-sample-data",,0,1

magento/module-cron,2,1,1
" -- magento/module-store",,1,0
" -- magento/module-config",,0,1

amzn/amazon-pay-and-login-with-amazon-core-module,10,10,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-developer",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-paypal",,1,0

klarna/module-core,10,10,0
" -- magento/module-bundle",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0

magento/module-url-rewrite,6,6,0
" -- magento/module-catalog",,1,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog-url-rewrite",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-cms-url-rewrite",,1,0

magento/module-checkout-agreements,4,4,0
" -- magento/module-checkout",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0

magento/module-cookie,2,1,1
" -- magento/module-store",,1,0
" -- magento/module-backend",,0,1

magento/module-gift-message,9,8,1
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-multishipping",,0,1

magento/module-grouped-product,13,12,1
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-msrp",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-grouped-product-sample-data",,0,1

magento/module-product-alert,5,4,1
" -- magento/module-backend",,1,0
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-config",,0,1

magento/module-search,5,5,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog-search",,1,0
" -- magento/module-store",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-ui",,1,0

amzn/login-with-amazon-module,6,5,1
" -- magento/module-customer",,1,0
" -- magento/module-store",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-checkout-agreements",,1,0
" -- magento/module-sales",,0,1

klarna/module-ordermanagement,5,5,0
" -- klarna/module-core",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0

magento/module-google-analytics,4,3,1
" -- magento/module-store",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-cookie",,1,0
" -- magento/module-config",,0,1

magento/module-multishipping,9,9,0
" -- magento/module-store",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-theme",,1,0

magento/module-offline-shipping,11,9,2
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-sales-rule",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-checkout",,0,1
" -- magento/module-offline-shipping-sample-data",,0,1

magento/module-robots,2,1,1
" -- magento/module-store",,1,0
" -- magento/module-theme",,0,1

magento/module-send-friend,3,3,0
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-customer",,1,0

magento/module-usps,8,8,0
" -- magento/module-store",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-config",,1,0

magento/module-webapi,6,4,2
" -- magento/module-store",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-integration",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-user",,0,1
" -- magento/module-customer",,0,1

magento/module-backup,3,3,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-cron",,1,0

magento/module-catalog-search,11,11,0
" -- magento/module-store",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-indexer",,1,0
" -- magento/module-search",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-catalog-inventory",,1,0

magento/module-cms-url-rewrite,3,3,0
" -- magento/module-store",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-url-rewrite",,1,0

magento/module-deploy,4,4,0
" -- magento/module-store",,1,0
" -- magento/module-require-js",,1,0
" -- magento/module-user",,1,0
" -- magento/module-config",,1,0

magento/module-translation,4,3,1
" -- magento/module-backend",,1,0
" -- magento/module-developer",,1,0
" -- magento/module-store",,1,0
" -- magento/module-deploy",,0,1

amzn/amazon-pay-module,13,10,3
" -- magento/module-eav",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-store",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-paypal",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-customer",,0,1
" -- magento/module-scalable-checkout",,0,1
" -- magento/module-scalable-oms",,0,1

dotmailer/dotmailer-magento2-extension,25,25,0
" -- magento/module-newsletter",,1,0
" -- magento/module-review",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-sales-rule",,1,0
" -- magento/module-wishlist",,1,0
" -- magento/module-store",,1,0
" -- magento/module-config",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-cron",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-rule",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-user",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-email",,1,0
" -- magento/module-send-friend",,1,0
" -- magento/module-product-alert",,1,0

klarna/module-kp,9,9,0
" -- klarna/module-core",,1,0
" -- klarna/module-ordermanagement",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0

magento/module-admin-notification,4,4,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-ui",,1,0

magento/module-advanced-pricing-import-export,7,7,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-catalog-import-export",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-store",,1,0

magento/module-analytics,4,4,0
" -- magento/module-backend",,1,0
" -- magento/module-config",,1,0
" -- magento/module-integration",,1,0
" -- magento/module-store",,1,0

magento/module-authorizenet,8,7,1
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-config",,0,1

magento/module-braintree,15,13,2
" -- magento/module-config",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-vault",,1,0
" -- magento/module-instant-purchase",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-paypal",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-checkout-agreements",,0,1
" -- magento/module-theme",,0,1

magento/module-bundle-import-export,6,6,0
" -- magento/module-catalog",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-catalog-import-export",,1,0
" -- magento/module-bundle",,1,0
" -- magento/module-store",,1,0
" -- magento/module-eav",,1,0

magento/module-cache-invalidate,1,1,0
" -- magento/module-page-cache",,1,0

magento/module-captcha,4,4,0
" -- magento/module-store",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-backend",,1,0

magento/module-catalog-analytics,1,1,0
" -- magento/module-catalog",,1,0

magento/module-catalog-rule-configurable,4,3,1
" -- magento/module-configurable-product",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-rule",,1,0
" -- magento/module-catalog-rule",,0,1

magento/module-catalog-widget,8,8,0
" -- magento/module-catalog",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-rule",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-store",,1,0
" -- magento/module-wishlist",,1,0

magento/module-configurable-import-export,5,5,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-import-export",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-configurable-product",,1,0

magento/module-configurable-product-sales,4,3,1
" -- magento/module-catalog",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-configurable-product",,0,1

magento/module-currency-symbol,5,5,0
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-backend",,1,0

magento/module-customer-analytics,1,1,0
" -- magento/module-customer",,1,0

magento/module-customer-import-export,6,6,0
" -- magento/module-store",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-directory",,1,0

magento/module-dhl,10,9,1
" -- magento/module-config",,1,0
" -- magento/module-store",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-checkout",,0,1

magento/module-downloadable-import-export,6,6,0
" -- magento/module-catalog",,1,0
" -- magento/module-import-export",,1,0
" -- magento/module-catalog-import-export",,1,0
" -- magento/module-downloadable",,1,0
